order_id,customer_id,product_id,order_date,quantity,price,revenue,city,year,month,day
O00001,C0349,P34,2024-03-15,1,973.0,973.0,Mumbai,2024,3,15
O00002,C0076,P33,2024-12-08,2,891.0,1782.0,Ahmedabad,2024,12,8
O00003,C0079,P53,2024-03-22,1,212.0,212.0,Hyderabad,2024,3,22
O00004,C0413,P28,2024-07-16,2,471.0,942.0,Pune,2024,7,16
O00005,C0069,P24,2024-03-04,1,755.0,755.0,Ahmedabad,2024,3,4
O00006,C0414,P32,2024-02-15,1,871.0,871.0,Delhi,2024,2,15
O00007,C0390,P32,2024-05-19,1,871.0,871.0,Mumbai,2024,5,19
O00008,C0060,P21,2024-08-08,2,466.0,932.0,Hyderabad,2024,8,8
O00009,C0120,P40,2024-02-16,1,891.0,891.0,Delhi,2024,2,16
O00010,C0462,P8,2024-03-29,1,925.0,925.0,Hyderabad,2024,3,29
O00011,C0149,P1,2024-10-16,2,905.0,1810.0,Bengaluru,2024,10,16
O00012,C0011,P30,2024-04-24,1,849.0,849.0,Hyderabad,2024,4,24
O00013,C0140,P24,2024-04-17,1,755.0,755.0,Delhi,2024,4,17
O00014,C0242,P27,2024-09-04,1,551.0,551.0,Ahmedabad,2024,9,4
O00015,C0139,P5,2024-12-04,1,755.0,755.0,Bengaluru,2024,12,4
O00016,C0453,P57,2024-10-19,1,165.0,165.0,Hyderabad,2024,10,19
O00017,C0195,P22,2024-03-03,1,871.0,871.0,Hyderabad,2024,3,3
O00018,C0147,P47,2024-07-25,2,176.0,352.0,Mumbai,2024,7,25
O00019,C0461,P58,2024-08-16,1,165.0,165.0,Pune,2024,8,16
O00020,C0135,P47,2024-12-28,2,176.0,352.0,Pune,2024,12,28
O00021,C0500,P46,2024-05-01,1,849.0,849.0,Ahmedabad,2024,5,1
O00022,C0497,P47,2024-07-24,1,176.0,176.0,Ahmedabad,2024,7,24
O00023,C0442,P36,2024-04-05,1,891.0,891.0,Mumbai,2024,4,5
O00024,C0193,P42,2024-02-03,1,973.0,973.0,Bengaluru,2024,2,3
O00025,C0050,P33,2024-03-27,1,891.0,891.0,Pune,2024,3,27
O00026,C0382,P46,2024-11-04,2,849.0,1698.0,Chennai,2024,11,4
O00027,C0370,P22,2024-06-06,1,871.0,871.0,Pune,2024,6,6
O00028,C0269,P49,2024-01-19,1,229.0,229.0,Pune,2024,1,19
O00029,C0316,P12,2024-05-22,2,849.0,1698.0,Hyderabad,2024,5,22
O00030,C0276,P50,2024-01-12,2,176.0,352.0,Delhi,2024,1,12
O00031,C0462,P43,2024-09-27,2,806.0,1612.0,Hyderabad,2024,9,27
O00032,C0440,P41,2024-06-04,1,820.0,820.0,Bengaluru,2024,6,4
O00033,C0227,P15,2024-12-15,2,1572.0,3144.0,Delhi,2024,12,15
O00034,C0500,P61,2024-08-30,2,223.0,446.0,Ahmedabad,2024,8,30
O00035,C0308,P8,2024-11-07,2,925.0,1850.0,Hyderabad,2024,11,7
O00036,C0051,P28,2024-07-25,1,471.0,471.0,Chennai,2024,7,25
O00037,C0130,P51,2024-12-16,1,176.0,176.0,Bengaluru,2024,12,16
O00038,C0292,P57,2024-09-24,1,165.0,165.0,Hyderabad,2024,9,24
