order_id,customer_id,product_id,order_date,quantity,price,revenue,city
O00001,C0349,P34,2024-03-15,1,973.0,973.0,Mumbai
O00002,C0076,P33,2024-12-08,2,891.0,1782.0,Ahmedabad
O00003,C0079,P53,2024-03-22,1,212.0,212.0,Hyderabad
O00004,C0413,P28,2024-07-16,2,471.0,942.0,Pune
O00005,C0069,P24,2024-03-04,1,755.0,755.0,Ahmedabad
O00006,C0414,P32,2024-02-15,1,871.0,871.0,Delhi
O00007,C0390,P32,2024-05-19,1,871.0,871.0,Mumbai
O00008,C0060,P21,2024-08-08,2,466.0,932.0,Hyderabad
O00009,C0120,P40,2024-02-16,1,891.0,891.0,Delhi
O00010,C0462,P8,2024-03-29,1,925.0,925.0,Hyderabad
O00011,C0149,P1,2024-10-16,2,905.0,1810.0,Bengaluru
O00012,C0011,P30,2024-04-24,1,849.0,849.0,Hyderabad
O00013,C0140,P24,2024-04-17,1,755.0,755.0,Delhi
O00014,C0242,P27,2024-09-04,1,551.0,551.0,Ahmedabad
O00015,C0139,P5,2024-12-04,1,755.0,755.0,Bengaluru
O00016,C0453,P57,2024-10-19,1,165.0,165.0,Hyderabad
O00017,C0195,P22,2024-03-03,1,871.0,871.0,Hyderabad
O00018,C0147,P47,2024-07-25,2,176.0,352.0,Mumbai
O00019,C0461,P58,2024-08-16,1,165.0,165.0,Pune
O00020,C0135,P47,2024-12-28,2,176.0,352.0,Pune
O00021,C0500,P46,2024-05-01,1,849.0,849.0,Ahmedabad
O00022,C0497,P47,2024-07-24,1,176.0,176.0,Ahmedabad
O00023,C0442,P36,2024-04-05,1,891.0,891.0,Mumbai
O00024,C0193,P42,2024-02-03,1,973.0,973.0,Bengaluru
O00025,C0050,P33,2024-03-27,1,891.0,891.0,Pune
O00026,C0382,P46,2024-11-04,2,849.0,1698.0,Chennai
O00027,C0370,P22,2024-06-06,1,871.0,871.0,Pune
O00028,C0269,P49,2024-01-19,1,229.0,229.0,Pune
O00029,C0316,P12,2024-05-22,2,849.0,1698.0,Hyderabad
O00030,C0276,P50,2024-01-12,2,176.0,352.0,Delhi
O00031,C0462,P43,2024-09-27,2,806.0,1612.0,Hyderabad
O00032,C0440,P41,2024-06-04,1,820.0,820.0,Bengaluru
O00033,C0227,P15,2024-12-15,2,1572.0,3144.0,Delhi
O00034,C0500,P61,2024-08-30,2,223.0,446.0,Ahmedabad
O00035,C0308,P8,2024-11-07,2,925.0,1850.0,Hyderabad
O00036,C0051,P28,2024-07-25,1,471.0,471.0,Chennai
O00037,C0130,P51,2024-12-16,1,176.0,176.0,Bengaluru
O00038,C0292,P57,2024-09-24,1,165.0,165.0,Hyderabad
O00039,C0097,P45,2024-03-11,1,466.0,466.0,Ahmedabad
O00040,C0228,P6,2024-09-24,1,866.0,866.0,Bengaluru
O00041,C0483,P45,2024-02-02,1,466.0,466.0,Chennai
O00042,C0080,P45,2024-09-03,1,466.0,466.0,Mumbai
O00043,C0145,P37,2024-12-28,1,1075.0,1075.0,Delhi
O00044,C0321,P62,2024-12-11,2,129.0,258.0,Pune
O00045,C0312,P54,2024-03-30,2,235.0,470.0,Hyderabad
O00046,C0145,P24,2024-07-02,1,755.0,755.0,Delhi
O00047,C0117,P39,2024-10-12,1,973.0,973.0,Hyderabad
O00048,C0495,P20,2024-10-23,1,820.0,820.0,Delhi
O00049,C0130,P40,2024-05-29,1,891.0,891.0,Bengaluru
O00050,C0234,P44,2024-09-24,2,764.0,1528.0,Bengaluru
O00051,C0064,P5,2024-10-21,1,755.0,755.0,Ahmedabad
O00052,C0082,P28,2024-04-25,1,471.0,471.0,Bengaluru
O00053,C0057,P30,2024-12-08,1,849.0,849.0,Pune
O00054,C0024,P32,2024-11-24,1,871.0,871.0,Mumbai
O00055,C0332,P19,2024-08-16,1,891.0,891.0,Chennai
O00056,C0053,P53,2024-12-06,2,212.0,424.0,Chennai
O00057,C0439,P59,2024-04-03,1,129.0,129.0,Mumbai
O00058,C0263,P53,2024-02-12,1,212.0,212.0,Chennai
O00059,C0012,P59,2024-03-30,1,129.0,129.0,Delhi
O00060,C0006,P34,2024-06-16,1,973.0,973.0,Chennai
O00061,C0106,P59,2024-02-03,1,129.0,129.0,Pune
O00062,C0362,P59,2024-04-30,1,129.0,129.0,Delhi
O00063,C0060,P47,2024-12-10,1,176.0,176.0,Hyderabad
O00064,C0041,P45,2024-12-15,1,466.0,466.0,Hyderabad
O00065,C0315,P29,2024-10-15,2,1019.0,2038.0,Pune
O00066,C0344,P38,2024-12-31,1,755.0,755.0,Delhi
O00067,C0269,P40,2024-09-11,1,891.0,891.0,Pune
O00068,C0209,P30,2024-12-20,1,849.0,849.0,Delhi
O00069,C0406,P32,2024-04-24,1,871.0,871.0,Hyderabad
O00070,C0249,P57,2024-06-24,2,165.0,330.0,Ahmedabad
O00071,C0427,P31,2024-02-19,1,1019.0,1019.0,Hyderabad
O00072,C0327,P15,2024-03-28,1,1572.0,1572.0,Bengaluru
O00073,C0429,P45,2024-06-12,1,466.0,466.0,Pune
O00074,C0150,P53,2024-05-12,2,212.0,424.0,Hyderabad
O00075,C0395,P18,2024-09-15,1,764.0,764.0,Hyderabad
O00076,C0268,P27,2024-02-13,1,551.0,551.0,Bengaluru
O00077,C0058,P44,2024-01-08,1,764.0,764.0,Chennai
O00078,C0070,P60,2024-10-31,1,276.0,276.0,Pune
O00079,C0123,P40,2024-04-27,2,891.0,1782.0,Chennai
O00080,C0304,P44,2024-05-13,1,764.0,764.0,Bengaluru
O00081,C0495,P24,2024-12-19,1,755.0,755.0,Delhi
O00082,C0465,P15,2024-08-25,1,1572.0,1572.0,Delhi
O00083,C0243,P50,2024-06-14,2,176.0,352.0,Bengaluru
O00084,C0280,P18,2024-03-24,1,764.0,764.0,Hyderabad
O00085,C0289,P50,2024-08-20,2,176.0,352.0,Bengaluru
O00086,C0151,P31,2024-05-11,2,1019.0,2038.0,Chennai
O00087,C0449,P33,2024-06-14,1,891.0,891.0,Ahmedabad
O00088,C0461,P54,2024-06-05,1,235.0,235.0,Pune
O00089,C0090,P23,2024-03-16,1,891.0,891.0,Delhi
O00090,C0176,P30,2024-02-25,2,849.0,1698.0,Mumbai
O00091,C0078,P60,2024-08-26,1,276.0,276.0,Bengaluru
O00092,C0242,P60,2024-07-02,1,276.0,276.0,Ahmedabad
O00093,C0150,P3,2024-08-29,1,1019.0,1019.0,Hyderabad
O00094,C0155,P27,2024-09-22,2,551.0,1102.0,Mumbai
O00095,C0071,P60,2024-04-03,1,276.0,276.0,Mumbai
O00096,C0159,P48,2024-07-11,1,235.0,235.0,Chennai
O00097,C0314,P18,2024-02-24,1,764.0,764.0,Ahmedabad
O00098,C0409,P55,2024-01-31,1,129.0,129.0,Hyderabad
O00099,C0485,P4,2024-01-16,1,403.0,403.0,Hyderabad
O00100,C0021,P31,2024-09-12,1,1019.0,1019.0,Mumbai
O00101,C0465,P40,2024-04-17,1,891.0,891.0,Delhi
O00102,C0296,P19,2024-07-11,2,891.0,1782.0,Chennai
O00103,C0009,P47,2024-09-25,1,176.0,176.0,Delhi
O00104,C0115,P2,2024-03-11,1,806.0,806.0,Bengaluru
O00105,C0164,P30,2024-06-21,2,849.0,1698.0,Chennai
O00106,C0376,P59,2024-08-05,1,129.0,129.0,Hyderabad
O00107,C0232,P10,2024-05-21,1,1019.0,1019.0,Delhi
O00108,C0164,P7,2024-04-02,1,811.0,811.0,Chennai
O00109,C0282,P38,2024-12-30,1,755.0,755.0,Ahmedabad
O00110,C0404,P51,2024-02-07,1,176.0,176.0,Mumbai
O00111,C0253,P1,2024-08-30,1,905.0,905.0,Ahmedabad
O00112,C0196,P5,2024-04-12,2,755.0,1510.0,Bengaluru
O00113,C0086,P20,2024-07-15,1,820.0,820.0,Mumbai
O00114,C0231,P62,2024-12-10,1,129.0,129.0,Delhi
O00115,C0415,P43,2024-09-29,1,806.0,806.0,Delhi
O00116,C0168,P20,2024-09-14,1,820.0,820.0,Chennai
O00117,C0074,P60,2024-09-10,1,276.0,276.0,Bengaluru
O00118,C0340,P52,2024-08-08,1,229.0,229.0,Pune
O00119,C0321,P32,2024-06-25,1,871.0,871.0,Pune
O00120,C0009,P15,2024-03-04,2,1572.0,3144.0,Delhi
O00121,C0269,P4,2024-05-25,1,403.0,403.0,Pune
O00122,C0018,P51,2024-04-08,1,176.0,176.0,Hyderabad
O00123,C0169,P62,2024-12-21,1,129.0,129.0,Delhi
